software mouseReMoCo;version 1.2.2;isWithLSL true;screenWidth 1352;screenHeight 815;centerX 676;centerY 407;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 349;cornerY 80;externalRadius 327;internalRadius 247;borderRadius 1;cursorRadius 16;indexOfDifficulty 38.30069341504152;taskRadius 286.5;taskTolerance 47;halfPeriod 1750
2022-03-31 19:40:32.578

timestamp,mouseX,mouseY,mouseInTarget
1648748443312,680,202,1
1648748443330,679,202,1
1648748443353,676,200,1
1648748443364,674,200,1
1648748443377,670,198,1
1648748443387,667,198,1
1648748443397,666,198,1
1648748443405,663,197,1
1648748443414,660,197,1
1648748443422,658,196,1
1648748443430,656,196,1
1648748443438,654,196,1
1648748443446,652,196,1
1648748443454,650,196,1
1648748443460,649,196,1
1648748443467,647,196,1
1648748443476,646,196,1
1648748443483,644,196,1
1648748443489,642,197,1
1648748443497,639,198,1
1648748443505,636,199,1
1648748443513,633,200,1
1648748443521,630,201,1
1648748443529,626,202,1
1648748443537,622,203,1
1648748443545,618,205,1
1648748443553,614,206,1
1648748443561,609,208,1
1648748443569,604,210,1
1648748443577,600,212,1
1648748443585,595,214,1
1648748443593,590,216,1
1648748443601,585,218,1
1648748443610,580,220,1
1648748443617,575,222,1
1648748443626,570,224,1
1648748443633,565,227,1
1648748443642,560,229,1
1648748443650,555,232,1
1648748443658,551,233,1
1648748443666,546,235,1
1648748443674,544,236,1
1648748443682,539,239,1
1648748443690,537,240,1
1648748443698,533,243,1
1648748443707,531,243,1
1648748443714,527,246,1
1648748443722,525,248,1
1648748443730,523,249,1
1648748443738,520,251,1
1648748443746,518,252,1
1648748443754,516,254,1
1648748443762,514,256,1
1648748443770,512,257,1
1648748443778,510,260,1
1648748443786,508,262,1
1648748443794,506,264,1
1648748443803,504,265,1
1648748443810,502,268,1
1648748443819,501,269,1
1648748443826,500,271,1
1648748443834,498,273,1
1648748443842,497,275,1
1648748443851,495,277,1
1648748443858,493,279,1
1648748443866,492,281,1
1648748443874,490,284,1
1648748443882,488,286,1
1648748443891,487,289,1
1648748443898,485,292,1
1648748443907,483,295,1
1648748443915,481,298,1
1648748443923,480,300,1
1648748443931,479,302,1
1648748443939,477,304,1
1648748443948,476,307,1
1648748443955,475,309,1
1648748443963,473,312,1
1648748443971,471,315,1
1648748443979,471,317,1
1648748443987,470,318,1
1648748443995,469,321,1
1648748444021,467,326,1
1648748444028,466,328,1
1648748444035,465,329,1
1648748444043,465,331,1
1648748444051,464,333,1
1648748444059,464,334,1
1648748444067,464,335,1
1648748444075,464,337,1
1648748444083,463,339,1
1648748444091,463,342,1
1648748444099,463,344,1
1648748444107,463,346,1
1648748444115,463,349,1
1648748444123,462,352,1
1648748444131,462,355,1
1648748444139,462,356,1
1648748444148,462,360,1
1648748444156,462,362,1
1648748444163,462,365,1
1648748444171,462,367,1
1648748444179,461,369,1
1648748444187,461,372,1
1648748444195,461,374,1
1648748444203,460,376,1
1648748444211,460,378,1
1648748444219,460,380,1
1648748444228,459,382,1
1648748444236,459,384,1
1648748444244,459,386,1
1648748444252,459,388,1
1648748444260,458,389,1
1648748444268,458,391,1
1648748444276,458,393,1
1648748444284,458,394,1
1648748444292,457,396,1
1648748444300,457,398,1
1648748444309,457,399,1
1648748444316,457,402,1
1648748444324,457,404,1
1648748444332,457,407,1
1648748444343,457,408,1
1648748444348,457,410,1
1648748444356,457,413,1
1648748444366,457,415,1
1648748444374,457,417,1
1648748444380,457,419,1
1648748444388,457,422,1
1648748444396,457,424,1
1648748444404,458,427,1
1648748444412,458,430,1
1648748444420,459,433,1
1648748444428,459,434,1
1648748444436,460,438,1
1648748444445,461,441,1
1648748444453,461,442,1
1648748444461,463,446,1
1648748444469,464,449,1
1648748444477,464,451,1
1648748444485,465,453,1
1648748444493,467,455,1
1648748444501,468,460,1
1648748444509,469,461,1
1648748444517,470,465,1
1648748444525,472,467,1
1648748444533,473,470,1
1648748444541,474,472,1
1648748444549,475,474,1
1648748444558,476,476,1
1648748444565,477,478,1
1648748444573,478,480,1
1648748444581,479,481,1
1648748444590,480,483,1
1648748444598,481,485,1
1648748444605,482,486,1
1648748444616,483,487,1
1648748444622,483,489,1
1648748444629,484,490,1
1648748444637,485,491,1
1648748444645,486,492,1
1648748444653,486,493,1
1648748444661,487,494,1
1648748444670,487,495,1
1648748444680,488,496,1
1648748444686,489,497,1
1648748444693,489,498,1
1648748444701,489,500,1
1648748444718,490,502,1
1648748444725,491,504,1
1648748444734,491,506,1
1648748444741,492,508,1
1648748444750,492,511,1
1648748444757,493,512,1
1648748444766,493,515,1
1648748444774,494,517,1
1648748444782,495,519,1
1648748444790,496,523,1
1648748444798,496,524,1
1648748444806,498,526,1
1648748444814,499,528,1
1648748444822,499,529,1
1648748444830,500,530,1
1648748444838,501,531,1
1648748444854,502,532,1
